Nama Tempat Wisata,Alamat,Jenis Wisata,Deskripsi,Koordinat,Rating,Kota,Deskripsi Singkat
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.9,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.1,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",4.4,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",4.1,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",3.9,Bali,Pura terapung yang indah di tepi Danau Beratan.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",4.9,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",3.9,Bali,Pura terapung yang indah di tepi Danau Beratan.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",5.0,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",4.9,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",4.2,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Pantai Pandawa,"Kutuh, Bali",Pantai,Pantai tersembunyi dengan pasir putih dan air jernih.,"-8.8482, 115.1769",3.8,Bali,Pantai tersembunyi dengan pasir putih dan air jernih.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",4.2,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",4.4,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",3.9,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",3.6,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.1,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",4.5,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Pantai Pandawa,"Kutuh, Bali",Pantai,Pantai tersembunyi dengan pasir putih dan air jernih.,"-8.8482, 115.1769",4.9,Bali,Pantai tersembunyi dengan pasir putih dan air jernih.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",4.4,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",4.5,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",4.7,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",5.0,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",4.8,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",4.6,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.1,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",4.8,Bali,Pura terapung yang indah di tepi Danau Beratan.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",4.3,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",3.7,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",3.8,Bali,Pura terapung yang indah di tepi Danau Beratan.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",3.9,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",4.4,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",4.9,Bali,Pura terapung yang indah di tepi Danau Beratan.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.4,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",3.5,Bali,Pura terapung yang indah di tepi Danau Beratan.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.2,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",4.1,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",3.7,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.8,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",3.8,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",4.3,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",4.2,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.3,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",4.8,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",3.6,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.6,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",4.6,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",3.7,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",4.9,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",3.7,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",4.5,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",5.0,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",3.5,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",3.9,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",3.7,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",4.1,Bali,Pura terapung yang indah di tepi Danau Beratan.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",3.9,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",4.7,Bali,Pura terapung yang indah di tepi Danau Beratan.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",3.6,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",3.8,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",3.8,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",3.5,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",3.8,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.0,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",5.0,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",4.4,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.5,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Pantai Pandawa,"Kutuh, Bali",Pantai,Pantai tersembunyi dengan pasir putih dan air jernih.,"-8.8482, 115.1769",4.4,Bali,Pantai tersembunyi dengan pasir putih dan air jernih.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",3.6,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",3.9,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",3.6,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",4.6,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",4.1,Bali,Pura terapung yang indah di tepi Danau Beratan.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.4,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",4.3,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",4.7,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",5.0,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.5,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",4.1,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",4.0,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",3.8,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",4.0,Bali,Pura terapung yang indah di tepi Danau Beratan.
Pantai Pandawa,"Kutuh, Bali",Pantai,Pantai tersembunyi dengan pasir putih dan air jernih.,"-8.8482, 115.1769",3.9,Bali,Pantai tersembunyi dengan pasir putih dan air jernih.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",4.9,Bali,Pura terapung yang indah di tepi Danau Beratan.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",4.0,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Pantai Pandawa,"Kutuh, Bali",Pantai,Pantai tersembunyi dengan pasir putih dan air jernih.,"-8.8482, 115.1769",3.8,Bali,Pantai tersembunyi dengan pasir putih dan air jernih.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",3.9,Bali,Pura terapung yang indah di tepi Danau Beratan.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",4.1,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.4,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",3.7,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",4.3,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",4.7,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",3.7,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.3,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",4.0,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",4.2,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.2,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.9,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",4.4,Bali,Pura terapung yang indah di tepi Danau Beratan.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",3.6,Bali,Pura terapung yang indah di tepi Danau Beratan.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.0,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",3.8,Bali,Pura terapung yang indah di tepi Danau Beratan.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",5.0,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.4,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",5.0,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Pantai Pandawa,"Kutuh, Bali",Pantai,Pantai tersembunyi dengan pasir putih dan air jernih.,"-8.8482, 115.1769",4.9,Bali,Pantai tersembunyi dengan pasir putih dan air jernih.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.8,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Pantai Pandawa,"Kutuh, Bali",Pantai,Pantai tersembunyi dengan pasir putih dan air jernih.,"-8.8482, 115.1769",4.6,Bali,Pantai tersembunyi dengan pasir putih dan air jernih.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.6,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",3.7,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Tegallalang Rice Terrace,"Ubud, Bali",Alam,Sawah terasering hijau yang menawan dan cocok untuk berfoto.,"-8.4425, 115.2793",3.6,Bali,Sawah terasering hijau yang menawan dan cocok untuk berfoto.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",3.8,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",3.8,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.3,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",3.7,Bali,Pura terapung yang indah di tepi Danau Beratan.
Pantai Pandawa,"Kutuh, Bali",Pantai,Pantai tersembunyi dengan pasir putih dan air jernih.,"-8.8482, 115.1769",4.6,Bali,Pantai tersembunyi dengan pasir putih dan air jernih.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.3,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.6,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.4,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",5.0,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.8,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Pura Ulun Danu Beratan,"Bedugul, Bali",Religi,Pura terapung yang indah di tepi Danau Beratan.,"-8.2784, 115.1676",3.9,Bali,Pura terapung yang indah di tepi Danau Beratan.
Pantai Pandawa,"Kutuh, Bali",Pantai,Pantai tersembunyi dengan pasir putih dan air jernih.,"-8.8482, 115.1769",3.7,Bali,Pantai tersembunyi dengan pasir putih dan air jernih.
Ubud Monkey Forest,"Ubud, Bali",Alam,Hutan suci dengan ratusan monyet dan kuil kuno.,"-8.5196, 115.2583",4.4,Bali,Hutan suci dengan ratusan monyet dan kuil kuno.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",3.6,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",3.8,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Pantai Kuta,"Kuta, Bali",Pantai,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.,"-8.7176, 115.1682",3.5,Bali,Pantai terkenal dengan pasir putih dan ombak yang cocok untuk surfing.
Garuda Wisnu Kencana,"Jimbaran, Bali",Budaya,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.,"-8.8102, 115.1668",4.1,Bali,Patung raksasa Garuda Wisnu Kencana yang menjadi ikon Bali.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",4.1,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Nusa Penida,"Klungkung, Bali",Alam,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.,"-8.7277, 115.5444",3.7,Bali,Pulau dengan pantai eksotis dan tebing-tebing spektakuler.
Tanah Lot,"Tabanan, Bali",Religi,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.,"-8.6211, 115.0869",4.8,Bali,Pura di atas batu karang yang terkenal dengan pemandangan matahari terbenam.
